ID,Latitude,Longitude,variable,,,,
USC00287865,40.4633,-74.0056,TMIN,1877,2012,,
USC00012577,31.4239,-86.0667,PRCP,1893,2010,,
USC00251560,41.1222,-98.0283,TMAX,1878,2017,,
USC00251560,41.1222,-98.0283,TMIN,1878,2017,,
USC00251560,41.1222,-98.0283,TOBS,1878,2017,,
USC00012675,31.2975,-85.8997,PRCP,1966,2020,,
USC00251560,41.1222,-98.0283,SNOW,1878,2017,,
USC00251560,41.1222,-98.0283,SNWD,1878,2017,,
USC00251560,41.1222,-98.0283,WT01,1878,2017,,
USC00414563,30.9153,-94.0097,SNOW,1878,2010,,
USC00414563,30.9153,-94.0097,SNWD,1878,2010,,
USC00043157,41.8714,-120.1575,SNOW,1879,2020,,
USC00012730,32.0111,-85.09,PRCP,1967,2020,,
USC00316001,35.0714,-83.9683,TMIN,1879,2020,,
USC00241008,46.2311,-112.1139,TMAX,1880,2020,,
USC00241008,46.2311,-112.1139,TMIN,1880,2020,,
USC00241008,46.2311,-112.1139,TOBS,1880,2020,,
USC00012758,31.445,-86.9533,PRCP,1890,2018,,
USC00241008,46.2311,-112.1139,SNOW,1880,2020,,
USC00241008,46.2311,-112.1139,SNWD,1880,2020,,
USC00012813,30.5467,-87.8808,PRCP,1917,2020,,
USC00324418,46.8844,-98.685,TMAX,1881,2020,,
USC00324418,46.8844,-98.685,TMIN,1881,2020,,
USC00324418,46.8844,-98.685,TOBS,1881,2020,,
USC00012883,33.7092,-87.8153,PRCP,1892,2020,,
USC00324418,46.8844,-98.685,SNOW,1881,2020,,
USC00324418,46.8844,-98.685,SNWD,1881,2020,,
USC00481816,44.5781,-106.4472,TMAX,1881,2020,,
USC00481816,44.5781,-106.4472,TMIN,1881,2020,,
USC00013043,34.4406,-85.7236,PRCP,1935,2020,,
USC00485355,44.8956,-110.2342,TMAX,1881,2020,,
USW00014936,44.3981,-98.2231,TMAX,1881,2020,,
USW00014936,44.3981,-98.2231,TMIN,1881,2020,,
USC00013154,34.0219,-85.9878,PRCP,1953,2020,,
USC00486120,41.8969,-106.2061,TMAX,1881,2019,,
USC00486120,41.8969,-106.2061,SNOW,1881,2016,,
USC00013160,32.8347,-88.1342,PRCP,1948,2020,,
USW00014971,40.8233,-96.7025,SNOW,1881,2015,,
USC00313228,35.1803,-83.3931,TMAX,1882,2020,,
USC00034562,34.3947,-92.8364,TMAX,1883,2020,,
USC00034562,34.3947,-92.8364,TMIN,1883,2020,,
USC00013251,31.0383,-85.8708,PRCP,1976,2020,,
USC00034562,34.3947,-92.8364,SNOW,1883,2020,,
USC00034562,34.3947,-92.8364,SNWD,1883,2020,,
USC00406012,35.9328,-88.7267,TMAX,1883,2020,,
USC00406012,35.9328,-88.7267,TMIN,1883,2020,,
USC00013255,31.0386,-85.87,PRCP,1892,2011,,
USC00406012,35.9328,-88.7267,SNOW,1883,2020,,
USC00013511,32.6922,-87.5761,PRCP,1890,2020,,
USC00408108,35.1525,-88.3214,SNOW,1883,2020,,
USW00013972,32.3542,-95.4025,TMAX,1883,2020,,
USW00013972,32.3542,-95.4025,TMIN,1883,2020,,
USC00013519,31.79,-86.6086,PRCP,1900,2020,,
USC00030936,34.8822,-91.2153,TMAX,1883,2017,,
USC00030936,34.8822,-91.2153,TMIN,1883,2017,,
USC00013573,34.3344,-86.3297,PRCP,1904,2020,,
USC00030936,34.8822,-91.2153,SNOW,1883,2017,,
USC00030936,34.8822,-91.2153,SNWD,1883,2017,,
USC00013620,34.2314,-87.6353,PRCP,1902,2020,,
USC00242438,48.3992,-108.2625,SNOW,1883,2012,,
USC00242438,48.3992,-108.2625,SNWD,1883,2012,,
USC00034988,34.5408,-93.5878,TMAX,1883,2010,,
USC00034988,34.5408,-93.5878,TMIN,1883,2010,,
USC00035186,35.6042,-91.2744,TMAX,1884,2020,,
USC00035186,35.6042,-91.2744,TMIN,1884,2020,,
USC00013645,34.0967,-87.9914,PRCP,1962,2020,,
USC00035186,35.6042,-91.2744,SNOW,1884,2020,,
USC00035186,35.6042,-91.2744,SNWD,1884,2020,,
USC00035754,34.2256,-92.0186,TMAX,1884,2020,,
USC00035754,34.2256,-92.0186,TMIN,1884,2020,,
USC00013761,31.3625,-85.3397,PRCP,1950,2020,,
USC00065445,41.9725,-73.2208,TMAX,1884,2020,,
